NO,WL
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1538.877
938,1538.852
939,1538.853
940,1538.842
941,1538.83
942,1538.819
943,1538.812
944,1538.806
945,1538.795
946,1538.782
947,1538.774
948,1538.768
949,1538.766
950,1538.76
951,1538.756
952,1538.755
953,1538.752
954,1538.75
955,1538.746
956,1538.747
957,1538.748
958,1538.746
959,1538.746
960,1538.746
961,1538.746
962,1538.745
963,1538.748
964,1538.748
965,1538.751
966,1538.752
967,1538.754
968,1538.759
969,1538.766
970,1538.768
971,1538.772
972,1538.781
973,1538.787
974,1538.795
975,1538.808
976,1538.819
977,1538.831
978,1538.854
979,1538.878
980,1538.922
981,1538.932
982,1538.964
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
